,Age,Gender,Ethnicity,Marital_Status,Education_Completed,Religion,Full_Time_Employment,Part_Time_Employment,Self_Employed_Part_Time,Self_Employed_Full_Time,Student,Homemaker,Disabled,Retired,Occupation,Income,US_Born,Primary_Language,English_Speaking,English_Difficulties,Familiarity_with_America,Familiarity_with_Ethnic_Origin,Discrimination,Health,Mental_Health,Hypertension,Health_Insurance,Medical_Transport,Sat_with_Housing,Housing,Com_Shares_Values,Close_knit_Com,Religious_Importance,Togetherness,Successful_Family,See_Friends,See_Family,Helpful_Family,Helpful_Friends,Disappointment,Sat_with_Life,Quality_of_Life,Social_Networks,Native_Language,Duration,Employment_Status,State,Education,clean_Income,Race
1,NA,NA,Vietnamese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Viet,NA,Unemployed,TX,NA,NA,ASIAN AMERICAN
2,60,Male,Chinese,Married,"Some college, but no degree",Buddhist,0,0,0,0,0,0,0,Retired,"Clerical, office, sales","$30,000 - $39,999",No,1,Not at all,Not much,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese Simplified,0.5,Retired,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
3,23,Female,Chinese,Single,College degree or Bachelor's degree,Buddhist,0,0,0,0,0,0,0,0,NA,"$0 - $9,999",No,1,Well,Much,Low,Very high,0,Very Good,Good,0,0,0,Pretty much,Apartment/ Townhouse/ Condominium,NA,NA,NA,NA,NA,4,4,5,4,0,Disagree,8,No,English,11,Unemployed,TX,College or Higher,"less than $20,000",ASIAN AMERICAN
4,73,Female,Chinese,Other,"Some college, but no degree",Protestant,0,0,0,0,0,0,0,Retired,NA,NA,No,1,Not well,NA,High,High,0,Good,Very Good,0,Yes,0,NA,NA,NA,NA,Very important,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,No,Chinese Traditional,50,Retired,TX,College or Higher,NA,ASIAN AMERICAN
5,29,Male,Asian Indian,Single,Graduate or Professional degree ,Hindu,Employed full time,0,0,0,0,0,0,0,Other,NA,No,0,Well,Very much,High,High,NA,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,7,Working full-time,TX,College or Higher,NA,ASIAN AMERICAN
6,34,Female,Asian Indian,Married,Graduate or Professional degree ,Hindu,Employed full time,0,0,0,0,0,0,0,Professional,NA,No,1,Very well,Not at all,Very high,NA,NA,Excellent,Excellent,0,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slightly agree,5,NA,English,NA,Working full-time,TX,College or Higher,NA,ASIAN AMERICAN
7,28,Male,Asian Indian,Married,Graduate or Professional degree ,Hindu,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,0,Well,Much,High,High,0,Very Good,Very Good,0,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Slightly agree,8,Yes,English,7,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
8,47,Male,Asian Indian,Married,Graduate or Professional degree ,Muslim,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,1,Very well,Not at all,High,High,0,Excellent,Excellent,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,20,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
9,25,Male,Asian Indian,Single,Graduate or Professional degree ,Hindu,Employed full time,0,0,0,0,0,0,0,Professional,"$50,000 - $59,999",No,0,Very well,Not at all,Very high,Low,0,Excellent,Excellent,0,Yes,Yes,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,5,3,3,5,0,Strongly agree,10,No,English,2,Working full-time,TX,College or Higher,"less than $70,000",ASIAN AMERICAN
10,60,Female,Asian Indian,Single,Graduate or Professional degree ,Hindu,0,0,0,0,0,0,0,Retired,NA,"$70,000 and over",No,1,Very well,Not at all,Low,High,0,Good,Excellent,0,Yes,0,Very much,One-family house,Neutral,Neutral,Very important,Strongly agree,Strongly agree,4,3,2,0,0,Agree,9,No,English,47,Retired,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
11,22,Female,Vietnamese,Single,Graduate or Professional degree ,Protestant,Employed full time,0,0,0,0,0,0,0,"Clerical, office, sales","$40,000 - $49,999",No,1,Very well,Very much,High,Very high,0,Very Good,Very Good,0,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,English,13,Working full-time,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
12,43,Male,Vietnamese,Married,Graduate or Professional degree ,Catholic,Employed full time,0,0,0,0,0,0,0,Professional,"$70,000 and over",No,NA,Very well,Much,High,High,0,Very Good,Good,0,0,Yes,Pretty much,One-family house,Neutral,Neutral,NA,Somewhat disagree,Somewhat agree,3,3,3,3,0,Neither agree or disagree,6,No,Viet,30,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
13,44,Female,Vietnamese,Married,High school degree / GED,Buddhist,Employed full time,0,0,0,Student,0,0,0,Service worker,"$20,000 - $29,999",No,0,Not well,Very much,High,Very high,NA,Good,Good,0,Yes,0,Not very much,One-family house,NA,NA,NA,NA,NA,3,3,3,2,0,Neither agree or disagree,8,No,Viet,13,Student,TX,HS Graduate,"less than $50,000",ASIAN AMERICAN
14,44,Female,Filipino,Other,College degree or Bachelor's degree,Catholic,Employed full time,0,0,0,0,0,0,0,Other,"$30,000 - $39,999",No,1,Well,Not at all,High,High,0,Excellent,Very Good,0,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Agree,8,Yes,English,12,Working full-time,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
15,32,Male,Filipino,Married,College degree or Bachelor's degree,Protestant,Employed full time,0,0,0,0,0,0,0,"Manager, executive, or official","$70,000 and over",Yes,0,Very well,Not at all,Very high,Very low,1,Very Good,Very Good,0,Yes,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Slightly agree,7,No,English,32,Working full-time,TX,College or Higher,"$70,000 and over",ASIAN AMERICAN
16,40,Female,Filipino,Single,Graduate or Professional degree ,Protestant,0,0,0,0,0,Full time homemaker,0,0,Business owner,"$40,000 - $49,999",No,1,Well,Very much,High,High,1,Very Good,Good,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree or disagree,5,NA,English,9,Homemaker,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
17,70,Female,Filipino,Married,High school degree / GED,Protestant,0,0,0,0,0,Full time homemaker,0,0,NA,NA,No,1,Not well,Not at all,High,High,0,Very Good,Good,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,5,No,Tagalog,7,Homemaker,TX,HS Graduate,NA,ASIAN AMERICAN
18,68,Female,Filipino,Married,"Some college, but no degree",Catholic,0,0,0,0,0,0,0,Retired,"Manager, executive, or official","$40,000 - $49,999",No,0,Very well,Very much,High,High,0,Good,Good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Agree,8,No,English,50,Retired,TX,College or Higher,"less than $50,000",ASIAN AMERICAN
