,Ethnicity,State,Education,Gender,Education_Completed,US_Born,Race,US_Born_Father,Birth_Country,Citizenship,Career_Success,Religion_Importance,Help_Other,Race_Id,American_Id,Leader_Qual,Info_Source,Registered_Vote,Not_Registered,Voter_NotElig,Chance_Vote,Candidate,Candidate_Strength,Candidate_Voted,Party_Voting,Repub_Impres,Dem_Impres,Trump_Impres,Clinton_Impres,Politic_Disc,Politic_Donate,Contact_Rep,Protest_Rally,Public_Meet,Value_Similarity,Religion,Topic_Important,Ban_Muslim,Syrian_Refugee,Marital_Status,Partner_Race,Employment_Status,Income.x,Birth_Yr,English_Read,Age,TrumpImpres,clean_Income,Full_Time_Employment,Part_Time_Employment,Self_Employed_Part_Time,Self_Employed_Full_Time,Student,Homemaker,Disabled,Retired,Occupation,Income.y,Primary_Language,English_Speaking,English_Difficulties,Familiarity_with_America,Familiarity_with_Ethnic_Origin,Discrimination,Health,Mental_Health,Hypertension,Health_Insurance,Medical_Transport,Sat_with_Housing,Housing,Com_Shares_Values,Close_knit_Com,Religious_Importance,Togetherness,Successful_Family,See_Friends,See_Family,Helpful_Family,Helpful_Friends,Disappointment,Sat_with_Life,Quality_of_Life,Social_Networks,Native_Language,Duration
1,Cambodian,CA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,Somewhat Important,Somewhat Important,A good leader should have significant work experience,NA,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,NA,NA,NA,NA,NA,NA,Buddhist,NA,NA,NA,Single,NA,Permanently disabled,"Up to $20,000",1935,NA,81,No opinion,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Cambodian,WA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,Mainstream American more,Registered,NA,Elig,I am absolutely certain I will vote,NA,NA,NA,Republican,No opinion,No opinion, No opinion,No opinion,No,Yes,No,No,No,Very Important,Buddhist,NA,Support,Oppose,Married,Asian or Asian American,Working full-time,"$125,000 to $250,000",1965,NA,51,No opinion,"$125,000 and over",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Cambodian,WA,College or Higher,Female,Graduate or Professional degree,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,A good leader should have significant work experience,DO NOT READ  Both equally,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,Yes,Yes,Yes,Yes,Yes,Very Important,None,Education,Oppose,NA,Married,Asian or Asian American,Working full-time,"$75,000 to $100,000",1976,NA,40,No opinion,"less than $100,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Cambodian,WA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Cambodia / Kampuchea,Citizen,NA,NA,NA,NA,NA,NA,Mainstream American more,Registered,NA,Elig,I am pretty likely to vote,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,No,No,No,No,No,NA,Buddhist,NA,Oppose,Oppose,Married,Asian or Asian American,Working full-time,"Up to $20,000",1966,NA,50,No opinion,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Cambodian,WA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have significant work experience,Mainstream American more,Registered,NA,Elig,I am absolutely certain I will vote,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,No,No,No,No,No,NA,Buddhist,Economy/Jobs,Support,Support,Married,Asian or Asian American,Retired,"Up to $20,000",1948,Just a little,68,No opinion,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Cambodian,WA,Less than HS,Female,"Some schooling, no high school degree / GED",No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,Mainstream American more,Registered,NA,Elig,I am absolutely certain I will vote,Clinton, SUPPORT STRONGLY,Other candidate,Democrat,Very favorable,Somewhat unfavorable, Very unfavorable,Very favorable,No,No,No,Yes,No,NA,Buddhist,Economy/Jobs,Support,Oppose,Other,NA,Homemaker,"Up to $20,000",1948,Not at all,68,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Cambodian,WA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Other  SPECIFY,Not a citizen,NA,NA,NA,NA,NA,NA,Mainstream American more,NA,NA,Nonelig,NA,NA,NA,NA,NA,Somewhat unfavorable,Very favorable, No opinion,Very favorable,No,Yes,No,No,No,NA,Buddhist,NA,Oppose,Support,Married,White,Working full-time,"$50,000 to $75,000",1965,Not at all,51,No opinion,"less than $70,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Cambodian,CA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have a degree from a top-university ...,NA,NA,Not Registered,Elig,I will not vote this year,NA,NA,NA,NA,No opinion,No opinion, No opinion,No opinion,No,No,No,No,No,NA,Buddhist,Incomes/Gap between rich and poor,Support,Support,Single,NA,Permanently disabled,"Up to $20,000",1943,Not at all,73,No opinion,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Cambodian,WA,Less than HS,Male,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,A good leader should have significant work experience,NA,NA,Not Registered,Elig,I will not vote this year,SOME OTHER CANDIDATE,NA,NA,Some other party,Somewhat favorable,Very unfavorable, Very unfavorable,Somewhat favorable,No,No,No,No,No,NA,Buddhist,Incomes/Gap between rich and poor,Support,Support,Single,NA,Permanently disabled,"Up to $20,000",1942,Not at all,74,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Cambodian,CA,Less than HS,Female,No schooling completed,No,ASIAN AMERICAN,No,Burma / Myanmar,Citizen,NA,NA,NA,NA,NA,NA,RETHNIC: or Asian American more,NA,Not Registered,Elig,I will not vote this year,SOME OTHER CANDIDATE,NA,NA,Some other party,Somewhat favorable,Very unfavorable, Very unfavorable,Somewhat favorable,Yes,Yes,Yes,Yes,Yes,Extremely Important,Buddhist,Economy/Jobs,Support,Support,Single,NA,Permanently disabled,"Up to $20,000",1942,Not at all,74,Very unfavorable,"less than $20,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
